
Mycobacterium tuberculosis,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
percentage of missing,0.0,0.0,0.0,0.0,0.0,46.59456880442129,0.0,0.0,0.0,66.40292632499701,66.40292632499701

Neisseria gonorrhoeae,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,4060,4060,4060,4060.0,4060,2837.0,4060.0,4060.0,4060.0,1034.0,1034.0
unique,4060,4043,2,,1,,,,,,
top,485.7477,Neisseria gonorrhoeae strain ceftriaxone resistant Neisseria gonorrhoeae,WGS,,Good,,,,,,
freq,1,6,4013,,4060,,,,,,
mean,,,,2130740.589901478,,0.015861825872400422,116.29532019704433,98.05775862068965,98.847118226601,99.94255319148937,0.16315280464216633
std,,,,36141.34729260528,,0.17842578533656414,82.74721136204566,0.6028440444825188,0.539601077921661,0.19714236204909352,0.4620822038072652
min,,,,2018629.0,,0.0,1.0,97.0,98.0,98.2,0.0
25%,,,,2110578.0,,0.0,82.0,97.3,98.1,100.0,0.0
50%,,,,2128344.5,,0.0,97.0,98.4,99.1,100.0,0.0
75%,,,,2152160.75,,0.0,114.0,98.5,99.2,100.0,0.0
max,,,,2329638.0,,3.0,659.0,99.1,99.7,100.0,4.6
missing,0,0,0,0.0,0,1223.0,0.0,0.0,0.0,3026.0,3026.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,30.12315270935961,0.0,0.0,0.0,74.5320197044335,74.5320197044335

Escherichia coli,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,22439,22439,22439,22439.0,22439,5464.0,22439.0,22439.0,22439.0,13579.0,13579.0
unique,22439,21836,2,,1,,,,,,
top,562.38845,Escherichia coli,WGS,,Good,,,,,,
freq,1,55,21297,,22439,,,,,,
mean,,,,5120760.825972637,,1.7018667642752563,161.02709568162575,98.70747805160659,99.77456214626322,99.90962515649164,0.4200088371750497
std,,,,249161.7121139615,,5.139520383363194,113.63779840211966,0.5089984985866238,0.2039519605773105,0.34002763788253443,0.6905296286097271
min,,,,3975975.0,,0.0,1.0,97.0,98.1,91.9,0.0
25%,,,,4956795.0,,0.0,90.0,98.4,99.7,100.0,0.0
50%,,,,5122320.0,,0.0,139.0,98.7,99.9,100.0,0.1
75%,,,,5289392.5,,1.0,208.0,99.0,99.9,100.0,0.5
max,,,,6323148.0,,76.0,997.0,99.9,100.0,100.0,11.2
missing,0,0,0,0.0,0,16975.0,0.0,0.0,0.0,8860.0,8860.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,75.64953874949865,0.0,0.0,0.0,39.48482552698427,39.48482552698427

Staphylococcus aureus,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,15009,15009,15009,15009.0,15009,6354.0,15009.0,15009.0,15009.0,11247.0,11247.0
unique,15009,14514,2,,1,,,,,,
top,1280.5647,Staphylococcus aureus strain MSSA,WGS,,Good,,,,,,
freq,1,161,14367,,15009,,,,,,
mean,,,,2823471.903058165,,0.2612527541706012,53.87540808848024,99.63942301285896,99.81760277167034,99.92782075220059,0.3428291988974838
std,,,,75006.92960099914,,1.4847098572833375,52.69210146544464,0.525640752966126,0.42858214976453973,0.7618390895621506,0.891911365722367
min,,,,2079867.0,,0.0,1.0,97.0,98.0,57.0,0.0
25%,,,,2772492.0,,0.0,28.0,99.6,99.9,100.0,0.0
50%,,,,2820011.0,,0.0,46.0,99.9,100.0,100.0,0.0
75%,,,,2874589.0,,0.0,64.0,99.9,100.0,100.0,0.6
max,,,,4350248.0,,42.0,880.0,100.0,100.0,100.0,20.1
missing,0,0,0,0.0,0,8655.0,0.0,0.0,0.0,3762.0,3762.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,57.66540075954427,0.0,0.0,0.0,25.06496102338597,25.06496102338597

Klebsiella pneumoniae,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,10201,10201,10201,10201.0,10201,1423.0,10201.0,10201.0,10201.0,7303.0,7303.0
unique,10201,9887,2,,1,,,,,,
top,573.25774,Klebsiella pneumoniae,WGS,,Good,,,,,,
freq,1,90,9696,,10201,,,,,,
mean,,,,5578909.323791785,,2.5924104005621924,107.10057837466915,97.91624350553869,99.5180178413881,99.87324387238122,0.2430097220320416
std,,,,175760.34742914088,,7.869701822419175,75.81058232728927,0.3558004578373658,0.17516611744644373,1.2692177520387464,0.47645474825096124
min,,,,3733181.0,,0.0,1.0,97.0,98.4,50.5,0.0
25%,,,,5466250.0,,0.0,65.0,97.7,99.4,100.0,0.0
50%,,,,5569272.0,,0.0,96.0,97.9,99.5,100.0,0.0
75%,,,,5684653.0,,3.0,134.0,98.2,99.6,100.0,0.3
max,,,,6575412.0,,131.0,997.0,99.3,99.9,100.0,10.8
missing,0,0,0,0.0,0,8778.0,0.0,0.0,0.0,2898.0,2898.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,86.05038721693951,0.0,0.0,0.0,28.408979511812564,28.408979511812564

Enterococcus faecium,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,1655,1655,1655,1655.0,1655,683.0,1655.0,1655.0,1655.0,824.0,824.0
unique,1655,1632,2,,1,,,,,,
top,1352.12083,Enterococcus faecium strain D344RRF x C68,WGS,,Good,,,,,,
freq,1,14,1561,,1655,,,,,,
mean,,,,2848927.1099697887,,0.5768667642752562,145.97280966767372,97.23691842900303,98.76,99.85873786407768,0.3133495145631068
std,,,,206866.99260691868,,1.7041929036634027,88.87206603417077,0.24367982540270403,0.20113342681139498,0.5817569728243039,0.6052555923955855
min,,,,2278434.0,,0.0,1.0,97.0,98.0,92.7,0.0
25%,,,,2693925.5,,0.0,69.0,97.0,98.7,100.0,0.0
50%,,,,2864143.0,,0.0,164.0,97.2,98.8,100.0,0.0
75%,,,,2994705.0,,0.0,207.0,97.4,98.9,100.0,0.5
max,,,,3871243.0,,11.0,764.0,99.3,99.9,100.0,4.4
missing,0,0,0,0.0,0,972.0,0.0,0.0,0.0,831.0,831.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,58.73111782477341,0.0,0.0,0.0,50.21148036253776,50.21148036253776

Acinetobacter baumannii,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,5637,5637,5637,5637.0,5637,961.0,5637.0,5637.0,5637.0,2997.0,2997.0
unique,5637,4810,2,,1,,,,,,
top,470.4874,Acinetobacter baumannii strain not applicable,WGS,,Good,,,,,,
freq,1,38,5438,,5637,,,,,,
mean,,,,3989245.9774702857,,1.303850156087409,131.8830938442434,98.37665424871385,99.25172964342735,99.82946279612948,0.4209209209209209
std,,,,129138.83649751767,,13.71074987898875,111.55735583400511,0.3900891827047072,0.1814770816182973,0.6811618410031304,0.8475832009087385
min,,,,3240866.0,,0.0,1.0,97.0,98.0,84.8,0.0
25%,,,,3911510.0,,0.0,70.0,98.2,99.2,100.0,0.0
50%,,,,3978610.0,,0.0,101.0,98.4,99.3,100.0,0.0
75%,,,,4056653.0,,0.0,156.0,98.7,99.3,100.0,0.5
max,,,,6587960.0,,289.0,986.0,99.3,99.8,100.0,17.1
missing,0,0,0,0.0,0,4676.0,0.0,0.0,0.0,2640.0,2640.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,82.95192478268582,0.0,0.0,0.0,46.833422032996275,46.833422032996275

Pseudomonas aeruginosa,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,4788,4788,4788,4788.0,4788,669.0,4788.0,4788.0,4788.0,2668.0,2668.0
unique,4788,4530,2,,1,,,,,,
top,287.4544,Pseudomonas aeruginosa,WGS,,Good,,,,,,
freq,1,91,4544,,4788,,,,,,
mean,,,,6652783.755012532,,0.06278026905829596,104.70238095238095,98.73579782790308,99.77180451127819,99.79201649175411,0.3608695652173913
std,,,,298802.8427391626,,0.35326371529530015,81.36538105066154,0.5648695019838169,0.1924269204240872,1.3902925474722725,0.5649740206617982
min,,,,2088377.0,,0.0,1.0,97.0,98.1,35.7,0.0
25%,,,,6407810.25,,0.0,49.0,98.4,99.7,100.0,0.0
50%,,,,6636227.0,,0.0,88.0,98.8,99.8,100.0,0.0
75%,,,,6875281.25,,0.0,140.0,99.1,99.9,100.0,0.6
max,,,,7837327.0,,5.0,901.0,99.9,100.0,100.0,7.4
missing,0,0,0,0.0,0,4119.0,0.0,0.0,0.0,2120.0,2120.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,86.02756892230576,0.0,0.0,0.0,44.27736006683375,44.27736006683375

Shigella sonnei,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,1726,1726,1726,1726.0,1726,386.0,1726.0,1726.0,1726.0,1223.0,1223.0
unique,1726,1721,2,,1,,,,,,
top,624.1587,Shigella sonnei strain 229,WGS,,Good,,,,,,
freq,1,2,1706,,1726,,,,,,
mean,,,,4651294.716106605,,0.15803108808290156,389.60892236384706,98.03621089223638,99.6449594438007,99.81275551921506,0.2497138184791496
std,,,,178413.09934290528,,0.8395423979716925,88.885528150246,0.350210553011629,0.15882019212526174,1.0866851553047052,0.7760096637475048
min,,,,3923692.0,,0.0,1.0,97.0,98.4,72.6,0.0
25%,,,,4535921.5,,0.0,374.0,97.9,99.6,100.0,0.0
50%,,,,4627410.5,,0.0,397.0,98.1,99.7,100.0,0.0
75%,,,,4743622.0,,0.0,429.0,98.2,99.7,100.0,0.3
max,,,,6089467.0,,8.0,752.0,99.6,100.0,100.0,11.8
missing,0,0,0,0.0,0,1340.0,0.0,0.0,0.0,503.0,503.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,77.63615295480881,0.0,0.0,0.0,29.14252607184241,29.14252607184241

Enterobacter cloacae,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,1054,1054,1054,1054.0,1054,146.0,1054.0,1054.0,1054.0,803.0,803.0
unique,1054,1037,2,,1,,,,,,
top,550.2975,Enterobacter cloacae strain 392,WGS,,Good,,,,,,
freq,1,2,981,,1054,,,,,,
mean,,,,4957783.7950664135,,0.9246575342465754,74.03605313092979,98.0207779886148,99.3753320683112,99.86151930261522,0.27422166874221665
std,,,,214286.2957027965,,1.669547187995249,57.268370984965415,0.44693210003439615,0.18168420097844631,0.5705587960186278,0.4917224910031156
min,,,,4439389.0,,0.0,1.0,97.0,98.6,89.5,0.0
25%,,,,4800225.25,,0.0,37.25,97.7,99.3,100.0,0.0
50%,,,,4949920.5,,0.0,61.0,98.1,99.4,100.0,0.0
75%,,,,5083444.75,,1.0,98.0,98.4,99.5,100.0,0.3
max,,,,5880777.0,,8.0,439.0,99.3,99.9,100.0,5.6
missing,0,0,0,0.0,0,908.0,0.0,0.0,0.0,251.0,251.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,86.14800759013282,0.0,0.0,0.0,23.81404174573055,23.81404174573055

Campylobacter jejuni,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,2956,2956,2956,2956.0,2956,269.0,2956.0,2956.0,2956.0,1215.0,1215.0
unique,2956,2406,2,,1,,,,,,
top,197.15218,Campylobacter jejuni,WGS,,Good,,,,,,
freq,1,67,2737,,2956,,,,,,
mean,,,,1698572.2777401893,,0.29739776951672864,60.70230040595399,99.46583220568336,99.7976657645467,99.91876543209875,0.48962962962962964
std,,,,72580.97386041482,,0.617554694050867,64.79591290916211,0.5042724577038225,0.264180816517198,0.6119163649419848,1.3491804008290844
min,,,,1460108.0,,0.0,1.0,97.0,98.0,88.7,0.0
25%,,,,1644679.25,,0.0,21.0,99.3,99.8,100.0,0.0
50%,,,,1689337.5,,0.0,43.0,99.6,99.9,100.0,0.0
75%,,,,1744431.0,,0.0,76.0,99.8,99.9,100.0,0.0
max,,,,2006566.0,,3.0,764.0,100.0,100.0,100.0,16.7
missing,0,0,0,0.0,0,2687.0,0.0,0.0,0.0,1741.0,1741.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,90.8998646820027,0.0,0.0,0.0,58.89715832205683,58.89715832205683
