	genome_name	genome_name	genome_name	genome_name
127906.81	14	1	Vibrio cholerae O1 strain CMR018	14
1280.10000	9	1	Staphylococcus aureus C00013237	9
1280.10001	9	1	Staphylococcus aureus C00013238	9
1280.10002	9	1	Staphylococcus aureus C00013241	9
1280.10003	9	1	Staphylococcus aureus C00013242	9
1280.10004	9	1	Staphylococcus aureus C00013244	9
1280.10005	9	1	Staphylococcus aureus C00013245	9
1280.10006	9	1	Staphylococcus aureus C00013246	9
1280.10007	10	1	Staphylococcus aureus C00013247	10
1280.10008	9	1	Staphylococcus aureus C00013251	9
1280.10009	9	1	Staphylococcus aureus C00013313	9
1280.10010	9	1	Staphylococcus aureus C00013322	9
1280.10011	9	1	Staphylococcus aureus C00013321	9
1280.10012	9	1	Staphylococcus aureus C00013323	9
1280.10013	9	1	Staphylococcus aureus C00013327	9
1280.10014	9	1	Staphylococcus aureus C00013328	9
1280.10015	9	1	Staphylococcus aureus C00013329	9
1280.10016	9	1	Staphylococcus aureus C00013332	9
1280.10017	9	1	Staphylococcus aureus C00013333	9
1280.10018	9	1	Staphylococcus aureus C00013334	9
1280.10019	9	1	Staphylococcus aureus C00013335	9
1280.10020	9	1	Staphylococcus aureus C00013339	9
1280.10021	9	1	Staphylococcus aureus C00013342	9
1280.10022	9	1	Staphylococcus aureus C00013343	9
1280.10023	9	1	Staphylococcus aureus C00013347	9
1280.10024	9	1	Staphylococcus aureus C00013350	9
1280.10025	9	1	Staphylococcus aureus C00013351	9
1280.10026	9	1	Staphylococcus aureus C00013357	9
1280.10027	9	1	Staphylococcus aureus C00013358	9
1280.10028	9	1	Staphylococcus aureus C00013359	9
1280.10029	9	1	Staphylococcus aureus C00013363	9
1280.10030	9	1	Staphylococcus aureus C00013367	9
1280.10031	9	1	Staphylococcus aureus C00013364	9
1280.10032	9	1	Staphylococcus aureus C00013371	9
1280.10033	9	1	Staphylococcus aureus C00013373	9
1280.10034	9	1	Staphylococcus aureus C00013374	9
1280.10035	9	1	Staphylococcus aureus C00013376	9
1280.10036	9	1	Staphylococcus aureus C00013377	9
1280.10037	9	1	Staphylococcus aureus C00013382	9
1280.10038	9	1	Staphylococcus aureus C00013384	9
1280.10039	9	1	Staphylococcus aureus C00013388	9
1280.10040	9	1	Staphylococcus aureus C00013390	9
1280.10041	9	1	Staphylococcus aureus C00013391	9
1280.10042	10	1	Staphylococcus aureus C00013393	10
1280.10043	9	1	Staphylococcus aureus C00013394	9
1280.10044	9	1	Staphylococcus aureus C00013395	9
1280.10045	9	1	Staphylococcus aureus C00013396	9
1280.10046	9	1	Staphylococcus aureus C00013402	9
1280.10047	9	1	Staphylococcus aureus C00013404	9
1280.10048	9	1	Staphylococcus aureus C00013406	9
1280.10049	9	1	Staphylococcus aureus C00013408	9
1280.10948	10	1	Staphylococcus aureus strain 3688STDY6124971	10
1280.10994	10	1	Staphylococcus aureus strain 3688STDY6124848	10
1280.11011	10	1	Staphylococcus aureus strain 3688STDY6124900	10
1280.11024	10	1	Staphylococcus aureus strain 3688STDY6124922	10
1280.11026	10	1	Staphylococcus aureus strain 3688STDY6124923	10
1280.11029	10	1	Staphylococcus aureus strain 3688STDY6124926	10
1280.11030	10	1	Staphylococcus aureus strain 3688STDY6124927	10
1280.11031	10	1	Staphylococcus aureus strain 3688STDY6124929	10
1280.11032	10	1	Staphylococcus aureus strain 3688STDY6124930	10
1280.11033	10	1	Staphylococcus aureus strain 3688STDY6124931	10
1280.11036	10	1	Staphylococcus aureus strain 3688STDY6124933	10
1280.11037	10	1	Staphylococcus aureus strain 3688STDY6124934	10
1280.11038	10	1	Staphylococcus aureus strain 3688STDY6124935	10
1280.11039	10	1	Staphylococcus aureus strain 3688STDY6124936	10
1280.11040	10	1	Staphylococcus aureus strain 3688STDY6124937	10
1280.11042	10	1	Staphylococcus aureus strain 3688STDY6124878	10
1280.11043	10	1	Staphylococcus aureus strain 3688STDY6124939	10
1280.11049	10	1	Staphylococcus aureus strain 3688STDY6124949	10
1280.11050	10	1	Staphylococcus aureus strain 3688STDY6124879	10
1280.11054	10	1	Staphylococcus aureus strain 3688STDY6124957	10
1280.11118	10	1	Staphylococcus aureus strain 3688STDY6124966	10
1280.11150	10	1	Staphylococcus aureus strain 3688STDY6125057	10
1280.11151	10	1	Staphylococcus aureus strain 3688STDY6125107	10
1280.11152	10	1	Staphylococcus aureus strain 3688STDY6125053	10
1280.11153	10	1	Staphylococcus aureus strain 3688STDY6125103	10
1280.11154	10	1	Staphylococcus aureus strain 3688STDY6125102	10
1280.11155	10	1	Staphylococcus aureus strain 3688STDY6125058	10
1280.11156	10	1	Staphylococcus aureus strain 3688STDY6124951	10
1280.11157	10	1	Staphylococcus aureus strain 3688STDY6124950	10
1280.11158	10	1	Staphylococcus aureus strain 3688STDY6124948	10
1280.11159	10	1	Staphylococcus aureus strain 3688STDY6124940	10
1280.11160	10	1	Staphylococcus aureus strain 3688STDY6124928	10
1280.11161	10	1	Staphylococcus aureus strain 3688STDY6124876	10
1280.11162	10	1	Staphylococcus aureus strain 3688STDY6124918	10
1280.11164	10	1	Staphylococcus aureus strain 3688STDY6124909	10
1280.11165	10	1	Staphylococcus aureus strain 3688STDY6124896	10
1280.11166	10	1	Staphylococcus aureus strain 3688STDY6124894	10
1280.11167	10	1	Staphylococcus aureus strain 3688STDY6124893	10
1280.11168	10	1	Staphylococcus aureus strain 3688STDY6124892	10
1280.11169	10	1	Staphylococcus aureus strain 3688STDY6124891	10
1280.11170	10	1	Staphylococcus aureus strain 3688STDY6124882	10
1280.11171	10	1	Staphylococcus aureus strain 3688STDY6124883	10
1280.11172	10	1	Staphylococcus aureus strain 3688STDY6124881	10
1280.11173	10	1	Staphylococcus aureus strain 3688STDY6124871	10
1280.11174	10	1	Staphylococcus aureus strain 3688STDY6124867	10
1280.11175	10	1	Staphylococcus aureus strain 3688STDY6124853	10
1280.11176	10	1	Staphylococcus aureus strain 3688STDY6124856	10
1280.11177	10	1	Staphylococcus aureus strain 3688STDY6124851	10
1280.11178	10	1	Staphylococcus aureus strain 3688STDY6124846	10
1280.11179	10	1	Staphylococcus aureus strain 3688STDY6124842	10
1280.11180	10	1	Staphylococcus aureus strain 3688STDY6124828	10
1280.11181	10	1	Staphylococcus aureus strain 3688STDY6124839	10
1280.11182	10	1	Staphylococcus aureus strain 3688STDY6124822	10
1280.11183	10	1	Staphylococcus aureus strain 3688STDY6124816	10
1280.11184	10	1	Staphylococcus aureus strain 3688STDY6124813	10
1280.11185	10	1	Staphylococcus aureus strain 3688STDY6125044	10
1280.11186	10	1	Staphylococcus aureus strain 3688STDY6125040	10
1280.11187	10	1	Staphylococcus aureus strain 3688STDY6125030	10
1280.11188	10	1	Staphylococcus aureus strain 3688STDY6125028	10
1280.11189	10	1	Staphylococcus aureus strain 3688STDY6125021	10
1280.11190	10	1	Staphylococcus aureus strain 3688STDY6125017	10
1280.11191	10	1	Staphylococcus aureus strain 3688STDY6125002	10
1280.11192	10	1	Staphylococcus aureus strain 3688STDY6124994	10
1280.11193	10	1	Staphylococcus aureus strain 3688STDY6124991	10
1280.11194	10	1	Staphylococcus aureus strain 3688STDY6124985	10
1280.11196	10	1	Staphylococcus aureus strain 3688STDY6124987	10
1280.11197	10	1	Staphylococcus aureus strain 3688STDY6124972	10
1280.11198	10	1	Staphylococcus aureus strain 3688STDY6124969	10
1280.11199	10	1	Staphylococcus aureus strain 3688STDY6124960	10
1280.11200	10	1	Staphylococcus aureus strain 3688STDY6125142	10
1280.11201	10	1	Staphylococcus aureus strain 3688STDY6125056	10
1280.11202	10	1	Staphylococcus aureus strain 3688STDY6125055	10
1280.11203	10	1	Staphylococcus aureus strain 3688STDY6125054	10
1280.11204	10	1	Staphylococcus aureus strain 3688STDY6125104	10
1280.11205	10	1	Staphylococcus aureus strain 3688STDY6125101	10
1280.11206	10	1	Staphylococcus aureus strain 3688STDY6125052	10
1280.11207	10	1	Staphylococcus aureus strain 3688STDY6125051	10
1280.11208	10	1	Staphylococcus aureus strain 3688STDY6125050	10
1280.11209	10	1	Staphylococcus aureus strain 3688STDY6125060	10
1280.11210	10	1	Staphylococcus aureus strain 3688STDY6125049	10
1280.11211	10	1	Staphylococcus aureus strain 3688STDY6125059	10
1280.11212	10	1	Staphylococcus aureus strain 3688STDY6124880	10
1280.11213	10	1	Staphylococcus aureus strain 3688STDY6124958	10
1280.11214	10	1	Staphylococcus aureus strain 3688STDY6124956	10
1280.11215	10	1	Staphylococcus aureus strain 3688STDY6124955	10
1280.11216	10	1	Staphylococcus aureus strain 3688STDY6124952	10
1280.11217	10	1	Staphylococcus aureus strain 3688STDY6124947	10
1280.11218	10	1	Staphylococcus aureus strain 3688STDY6124946	10
1280.11219	10	1	Staphylococcus aureus strain 3688STDY6124945	10
1280.11220	10	1	Staphylococcus aureus strain 3688STDY6124944	10
1280.11221	10	1	Staphylococcus aureus strain 3688STDY6124943	10
1280.11222	10	1	Staphylococcus aureus strain 3688STDY6124942	10
1280.11223	10	1	Staphylococcus aureus strain 3688STDY6124938	10
1280.11224	10	1	Staphylococcus aureus strain 3688STDY6124932	10
1280.11225	10	1	Staphylococcus aureus strain 3688STDY6124877	10
1280.11226	10	1	Staphylococcus aureus strain 3688STDY6124925	10
1280.11229	10	1	Staphylococcus aureus strain 3688STDY6124921	10
1280.11230	10	1	Staphylococcus aureus strain 3688STDY6124920	10
1280.11231	10	1	Staphylococcus aureus strain 3688STDY6124916	10
1280.11232	10	1	Staphylococcus aureus strain 3688STDY6124912	10
1280.11233	10	1	Staphylococcus aureus strain 3688STDY6124875	10
1280.11234	10	1	Staphylococcus aureus strain 3688STDY6124911	10
1280.11235	10	1	Staphylococcus aureus strain 3688STDY6124910	10
1280.11236	10	1	Staphylococcus aureus strain 3688STDY6124906	10
1280.11237	10	1	Staphylococcus aureus strain 3688STDY6124905	10
1280.11238	10	1	Staphylococcus aureus strain 3688STDY6124904	10
1280.11239	10	1	Staphylococcus aureus strain 3688STDY6124903	10
1280.11241	10	1	Staphylococcus aureus strain 3688STDY6124901	10
1280.11242	10	1	Staphylococcus aureus strain 3688STDY6124874	10
1280.11243	10	1	Staphylococcus aureus strain 3688STDY6124899	10
1280.11244	10	1	Staphylococcus aureus strain 3688STDY6124897	10
1280.11245	10	1	Staphylococcus aureus strain 3688STDY6124895	10
1280.11246	10	1	Staphylococcus aureus strain 3688STDY6124873	10
1280.11248	10	1	Staphylococcus aureus strain 3688STDY6124889	10
1280.11249	10	1	Staphylococcus aureus strain 3688STDY6124888	10
1280.11250	10	1	Staphylococcus aureus strain 3688STDY6124886	10
1280.11251	10	1	Staphylococcus aureus strain 3688STDY6124885	10
1280.11252	10	1	Staphylococcus aureus strain 3688STDY6124884	10
1280.11254	10	1	Staphylococcus aureus strain 3688STDY6124870	10
1280.11255	10	1	Staphylococcus aureus strain 3688STDY6124869	10
1280.11256	10	1	Staphylococcus aureus strain 3688STDY6124868	10
1280.11257	10	1	Staphylococcus aureus strain 3688STDY6124866	10
1280.11258	10	1	Staphylococcus aureus strain 3688STDY6124865	10
1280.11259	10	1	Staphylococcus aureus strain 3688STDY6124863	10
1280.11261	10	1	Staphylococcus aureus strain 3688STDY6124861	10
1280.11262	10	1	Staphylococcus aureus strain 3688STDY6124862	10
1280.11263	10	1	Staphylococcus aureus strain 3688STDY6124860	10
1280.11264	10	1	Staphylococcus aureus strain 3688STDY6124859	10
1280.11265	10	1	Staphylococcus aureus strain 3688STDY6124858	10
1280.11266	10	1	Staphylococcus aureus strain 3688STDY6124855	10
1280.11267	10	1	Staphylococcus aureus strain 3688STDY6124854	10
1280.11268	10	1	Staphylococcus aureus strain 3688STDY6124852	10
1280.11269	10	1	Staphylococcus aureus strain 3688STDY6124850	10
1280.11270	10	1	Staphylococcus aureus strain 3688STDY6124845	10
1280.11271	10	1	Staphylococcus aureus strain 3688STDY6124849	10
1280.11272	10	1	Staphylococcus aureus strain 3688STDY6124844	10
1280.11273	10	1	Staphylococcus aureus strain 3688STDY6124847	10
1280.11274	10	1	Staphylococcus aureus strain 3688STDY6124843	10
1280.11275	10	1	Staphylococcus aureus strain 3688STDY6124841	10
1280.11276	10	1	Staphylococcus aureus strain 3688STDY6124840	10
1280.11277	10	1	Staphylococcus aureus strain 3688STDY6124838	10
1280.11278	10	1	Staphylococcus aureus strain 3688STDY6124837	10
1280.11279	10	1	Staphylococcus aureus strain 3688STDY6124835	10
1280.11280	10	1	Staphylococcus aureus strain 3688STDY6124836	10
1280.11281	10	1	Staphylococcus aureus strain 3688STDY6124833	10
1280.11282	10	1	Staphylococcus aureus strain 3688STDY6124832	10
1280.11283	10	1	Staphylococcus aureus strain 3688STDY6124834	10
1280.11284	10	1	Staphylococcus aureus strain 3688STDY6124831	10
1280.11285	10	1	Staphylococcus aureus strain 3688STDY6124829	10
1280.11286	10	1	Staphylococcus aureus strain 3688STDY6124826	10
1280.11287	10	1	Staphylococcus aureus strain 3688STDY6124825	10
